"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1051",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
"381",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
"831",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
"231",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
"778",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
"725",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4
"1243",9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6
"1099",8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
"547",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
"233",8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
"480",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
"1161",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
"1337",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"622",8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
"906",9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5
"1155",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
"1568",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
"223",6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5
"702",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
"860",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
"1340",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"1400",7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6
"949",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
"1247",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5
"1112",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7
"948",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
"187",7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
"95",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
"204",7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5
"329",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
"1088",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
"1577",8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6
"1074",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6
"118",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
"1080",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
"1424",6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4
"1517",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
"1052",8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
"766",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
"8",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
"915",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
"39",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
"751",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
"1429",7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5
"474",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
"571",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6
"1299",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
"671",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
"1449",6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
"1217",7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6
"1236",6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4
"767",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5
"154",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
"1284",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6
"1477",9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
"1152",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6
"967",9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7
"549",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
"518",10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
"599",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
"1346",8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,6
"985",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
"288",7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
"718",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
"1043",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
"1219",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6
"391",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
"1260",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
"1072",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
"650",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
"749",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6
"542",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6
"696",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
"414",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
"1589",7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6
"868",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
"120",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
"892",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
"484",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
"982",9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5
"817",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6
"248",8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5
"959",6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
"1116",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
"783",9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5
"1569",7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
"618",11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6
"1492",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
"1355",7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
"243",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
"1530",7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
"1559",6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5
"38",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
"585",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
"537",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
"1285",7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5
"516",8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
"1259",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
"1469",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
"206",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
"848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
"1488",6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
"311",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
"1019",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
"655",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5
"755",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6
"1369",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
"429",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
"1176",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6
"1535",6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
"1070",8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
"871",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
"472",9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6
"220",7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
"462",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
"757",6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6
"219",7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5
"940",6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5
"526",10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
"1348",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
"980",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
"376",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
"497",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
"1541",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
"1122",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
"131",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
"1396",8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6
"753",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7
"560",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
"1223",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6
"1168",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
"1326",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
"1349",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
"105",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
"227",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
"738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
"1593",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
"14",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
"148",7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
"28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
"632",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5
"828",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
"792",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5
"649",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
"349",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6
"557",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
"216",7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
"887",9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,6
"353",7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
"637",9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
"1251",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
"9",7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
"1582",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
